Mælikvarði,Atvinnugrein,Ár,value
Index 2008=100,O-Q. Public administration and defence; compulsory social security; education; human health and social work activities,2024,98.7
Index 2008=100,O-Q. Public administration and defence; compulsory social security; education; human health and social work activities,2025,99.8
Index 2008=100,"R-U. Arts, entertainment and recreation, repair of household goods and other services",2008,100
Index 2008=100,"R-U. Arts, entertainment and recreation, repair of household goods and other services",2009,93.6
Index 2008=100,"R-U. Arts, entertainment and recreation, repair of household goods and other services",2010,94.4
Index 2008=100,"R-U. Arts, entertainment and recreation, repair of household goods and other services",2011,95.4
Index 2008=100,"R-U. Arts, entertainment and recreation, repair of household goods and other services",2012,95.5
Index 2008=100,"R-U. Arts, entertainment and recreation, repair of household goods and other services",2013,99.6
Index 2008=100,"R-U. Arts, entertainment and recreation, repair of household goods and other services",2014,99.3
Index 2008=100,"R-U. Arts, entertainment and recreation, repair of household goods and other services",2015,100.5
Index 2008=100,"R-U. Arts, entertainment and recreation, repair of household goods and other services",2016,103.2
Index 2008=100,"R-U. Arts, entertainment and recreation, repair of household goods and other services",2017,102.2
Index 2008=100,"R-U. Arts, entertainment and recreation, repair of household goods and other services",2018,112.5
Index 2008=100,"R-U. Arts, entertainment and recreation, repair of household goods and other services",2019,108
Index 2008=100,"R-U. Arts, entertainment and recreation, repair of household goods and other services",2020,85.6
Index 2008=100,"R-U. Arts, entertainment and recreation, repair of household goods and other services",2021,89.7
Index 2008=100,"R-U. Arts, entertainment and recreation, repair of household goods and other services",2022,93.5
Index 2008=100,"R-U. Arts, entertainment and recreation, repair of household goods and other services",2023,102.2
Index 2008=100,"R-U. Arts, entertainment and recreation, repair of household goods and other services",2024,97.4
Index 2008=100,"R-U. Arts, entertainment and recreation, repair of household goods and other services",2025,103.1
Index 2008=100,Total,2008,100
Index 2008=100,Total,2009,105.6
Index 2008=100,Total,2010,105.2
Index 2008=100,Total,2011,104.8
Index 2008=100,Total,2012,105.1
Index 2008=100,Total,2013,106.3
Index 2008=100,Total,2014,106.5
Index 2008=100,Total,2015,107.6
Index 2008=100,Total,2016,108.7
Index 2008=100,Total,2017,108.8
Index 2008=100,Total,2018,111.4
Index 2008=100,Total,2019,114
Index 2008=100,Total,2020,112.9
Index 2008=100,Total,2021,117.5
Index 2008=100,Total,2022,119.4
Index 2008=100,Total,2023,120.6
Index 2008=100,Total,2024,117.8
Index 2008=100,Total,2025,120.1
Annual growth rate per cent,"A. Agriculture, forestry and fishing",2008,
Annual growth rate per cent,"A. Agriculture, forestry and fishing",2009,-5.4
Annual growth rate per cent,"A. Agriculture, forestry and fishing",2010,-11.2
Annual growth rate per cent,"A. Agriculture, forestry and fishing",2011,-3
Annual growth rate per cent,"A. Agriculture, forestry and fishing",2012,6.7
Annual growth rate per cent,"A. Agriculture, forestry and fishing",2013,3.3
Annual growth rate per cent,"A. Agriculture, forestry and fishing",2014,0.1
Annual growth rate per cent,"A. Agriculture, forestry and fishing",2015,7.2
Annual growth rate per cent,"A. Agriculture, forestry and fishing",2016,4.8
Annual growth rate per cent,"A. Agriculture, forestry and fishing",2017,11.7
Annual growth rate per cent,"A. Agriculture, forestry and fishing",2018,7.9
Annual growth rate per cent,"A. Agriculture, forestry and fishing",2019,4.6
Annual growth rate per cent,"A. Agriculture, forestry and fishing",2020,-1.2
Annual growth rate per cent,"A. Agriculture, forestry and fishing",2021,1.1
Annual growth rate per cent,"A. Agriculture, forestry and fishing",2022,3
Annual growth rate per cent,"A. Agriculture, forestry and fishing",2023,3.6
Annual growth rate per cent,"A. Agriculture, forestry and fishing",2024,-14.1
Annual growth rate per cent,"A. Agriculture, forestry and fishing",2025,-0.9
Annual growth rate per cent,"B-E. Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",2008,
Annual growth rate per cent,"B-E. Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",2009,8
Annual growth rate per cent,"B-E. Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",2010,1.3
Annual growth rate per cent,"B-E. Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",2011,-0.5
Annual growth rate per cent,"B-E. Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",2012,2
Annual growth rate per cent,"B-E. Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",2013,1.2
