Ársfjórðungur,Atvinnugreinar/Launþegahópur,Eining,value
2010Q2,Private sector,Value of index,55.8
2010Q2,Private sector,"Quarterly change, %",1.8
2010Q2,Private sector,"Annual change, %",3.1
2010Q2,Public sector,Value of index,52.7
2010Q2,Public sector,"Quarterly change, %",1.3
2010Q2,Public sector,"Annual change, %",1.3
2010Q2,Manufacturing (C),Value of index,54.1
2010Q2,Manufacturing (C),"Quarterly change, %",2.3
2010Q2,Manufacturing (C),"Annual change, %",5
2010Q2,"Electricity, gas, steam and air conditioning supply (D)",Value of index,51.8
2010Q2,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",0.2
2010Q2,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",3.8
2010Q2,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,55.4
2010Q2,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",-2.3
2010Q2,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",2.4
2010Q2,Construction (F),Value of index,58.6
2010Q2,Construction (F),"Quarterly change, %",2.4
2010Q2,Construction (F),"Annual change, %",2.6
2010Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,55
2010Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",3.6
2010Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",5.2
2010Q2,Transportation and storage (H),Value of index,55.6
2010Q2,Transportation and storage (H),"Quarterly change, %",1.5
2010Q2,Transportation and storage (H),"Annual change, %",5.1
2010Q2,Accommodation and food service activities (I),Value of index,55.4
2010Q2,Accommodation and food service activities (I),"Quarterly change, %",3
2010Q2,Accommodation and food service activities (I),"Annual change, %",3.9
2010Q2,Information and communication (J),Value of index,55.3
2010Q2,Information and communication (J),"Quarterly change, %",1.8
2010Q2,Information and communication (J),"Annual change, %",4.3
2010Q2,Financial and insurance activities (K),Value of index,51.9
2010Q2,Financial and insurance activities (K),"Quarterly change, %",1.2
2010Q2,Financial and insurance activities (K),"Annual change, %",-2.8
2010Q2,Real estate activities (L),Value of index,54.5
2010Q2,Real estate activities (L),"Quarterly change, %",1.9
2010Q2,Real estate activities (L),"Annual change, %",-2.5
2010Q2,"Professional, scientific and technical activities (M)",Value of index,59.2
2010Q2,"Professional, scientific and technical activities (M)","Quarterly change, %",2.2
2010Q2,"Professional, scientific and technical activities (M)","Annual change, %",1.9
2010Q2,Administrative and support service activities (N),Value of index,55.8
2010Q2,Administrative and support service activities (N),"Quarterly change, %",3.1
2010Q2,Administrative and support service activities (N),"Annual change, %",5.3
2010Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,52.9
2010Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",1
2010Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",1.1
2010Q3,Total,Value of index,52.4
2010Q3,Total,"Quarterly change, %",-3.3
2010Q3,Total,"Annual change, %",3.8
2010Q3,Private sector,Value of index,54
2010Q3,Private sector,"Quarterly change, %",-3.2
2010Q3,Private sector,"Annual change, %",4.4
2010Q3,Public sector,Value of index,50.7
2010Q3,Public sector,"Quarterly change, %",-3.8
2010Q3,Public sector,"Annual change, %",2.4
2010Q3,Manufacturing (C),Value of index,52
2010Q3,Manufacturing (C),"Quarterly change, %",-3.9
2010Q3,Manufacturing (C),"Annual change, %",5.9
2010Q3,"Electricity, gas, steam and air conditioning supply (D)",Value of index,48.6
2010Q3,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",-6.2
2010Q3,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",5.4
2010Q3,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,53
2010Q3,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",-4.3
2010Q3,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",2.9
2010Q3,Construction (F),Value of index,57.5
2010Q3,Construction (F),"Quarterly change, %",-1.9
2010Q3,Construction (F),"Annual change, %",2.9
2010Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,52.8
2010Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",-4
2010Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",5.4
2010Q3,Transportation and storage (H),Value of index,54.1
2010Q3,Transportation and storage (H),"Quarterly change, %",-2.7
2010Q3,Transportation and storage (H),"Annual change, %",6.7
2010Q3,Accommodation and food service activities (I),Value of index,54.5
2010Q3,Accommodation and food service activities (I),"Quarterly change, %",-1.6
2010Q3,Accommodation and food service activities (I),"Annual change, %",3.6
2010Q3,Information and communication (J),Value of index,54.4
2010Q3,Information and communication (J),"Quarterly change, %",-1.6
2010Q3,Information and communication (J),"Annual change, %",5.6
2010Q3,Financial and insurance activities (K),Value of index,50.5
2010Q3,Financial and insurance activities (K),"Quarterly change, %",-2.7
2010Q3,Financial and insurance activities (K),"Annual change, %",1.4
2010Q3,Real estate activities (L),Value of index,53.8
2010Q3,Real estate activities (L),"Quarterly change, %",-1.3
2010Q3,Real estate activities (L),"Annual change, %",-2.4
2010Q3,"Professional, scientific and technical activities (M)",Value of index,58.2
2010Q3,"Professional, scientific and technical activities (M)","Quarterly change, %",-1.7
2010Q3,"Professional, scientific and technical activities (M)","Annual change, %",4.5
2010Q3,Administrative and support service activities (N),Value of index,54.3
2010Q3,Administrative and support service activities (N),"Quarterly change, %",-2.7
2010Q3,Administrative and support service activities (N),"Annual change, %",5.6
2010Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,50.9
2010Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",-3.8
2010Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",2.4
2010Q4,Total,Value of index,57.7
2010Q4,Total,"Quarterly change, %",10.1
2010Q4,Total,"Annual change, %",3
2010Q4,Private sector,Value of index,59.6
2010Q4,Private sector,"Quarterly change, %",10.4
2010Q4,Private sector,"Annual change, %",3.5
2010Q4,Public sector,Value of index,55.9
2010Q4,Public sector,"Quarterly change, %",10.3
2010Q4,Public sector,"Annual change, %",2.4
2010Q4,Manufacturing (C),Value of index,57.8
2010Q4,Manufacturing (C),"Quarterly change, %",11.2
2010Q4,Manufacturing (C),"Annual change, %",5.1
2010Q4,"Electricity, gas, steam and air conditioning supply (D)",Value of index,58.2
2010Q4,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",19.8
2010Q4,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",4.3
2010Q4,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,58.9
2010Q4,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",11.1
2010Q4,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",2.1
2010Q4,Construction (F),Value of index,62.2
2010Q4,Construction (F),"Quarterly change, %",8.2
2010Q4,Construction (F),"Annual change, %",2.1
2010Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,57.7
2010Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",9.3
2010Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",4.5
2010Q4,Transportation and storage (H),Value of index,59.5
2010Q4,Transportation and storage (H),"Quarterly change, %",10
2010Q4,Transportation and storage (H),"Annual change, %",4
2010Q4,Accommodation and food service activities (I),Value of index,58
2010Q4,Accommodation and food service activities (I),"Quarterly change, %",6.4
2010Q4,Accommodation and food service activities (I),"Annual change, %",3
2010Q4,Information and communication (J),Value of index,58.5
2010Q4,Information and communication (J),"Quarterly change, %",7.5
2010Q4,Information and communication (J),"Annual change, %",2.1
2010Q4,Financial and insurance activities (K),Value of index,56.5
2010Q4,Financial and insurance activities (K),"Quarterly change, %",11.9
2010Q4,Financial and insurance activities (K),"Annual change, %",2.4
2010Q4,Real estate activities (L),Value of index,56.7
2010Q4,Real estate activities (L),"Quarterly change, %",5.4
2010Q4,Real estate activities (L),"Annual change, %",-18
2010Q4,"Professional, scientific and technical activities (M)",Value of index,63.7
2010Q4,"Professional, scientific and technical activities (M)","Quarterly change, %",9.5
2010Q4,"Professional, scientific and technical activities (M)","Annual change, %",4.1
2010Q4,Administrative and support service activities (N),Value of index,58.8
2010Q4,Administrative and support service activities (N),"Quarterly change, %",8.3
2010Q4,Administrative and support service activities (N),"Annual change, %",5.2
2010Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,56.2
2010Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",10.4
2010Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",2
2011Q1,Total,Value of index,56.1
2011Q1,Total,"Quarterly change, %",-2.8
2011Q1,Total,"Annual change, %",5.5
2011Q1,Private sector,Value of index,58.3
2011Q1,Private sector,"Quarterly change, %",-2.2
2011Q1,Private sector,"Annual change, %",6.4
