Kyn og landsvæði,Atvinnigrein (aðal- og aukastarf),Ár,Eining,value
Total,C - Manufacturing,1996,95% Conf.Int,1400
Total,C - Manufacturing,1997,Number (main and second job),23500
Total,C - Manufacturing,1997,95% Conf.Int,1500
Total,C - Manufacturing,1998,Number (main and second job),22900
Total,C - Manufacturing,1998,95% Conf.Int,1500
Total,C - Manufacturing,1999,Number (main and second job),21400
Total,C - Manufacturing,1999,95% Conf.Int,1400
Total,C - Manufacturing,2000,Number (main and second job),21700
Total,C - Manufacturing,2000,95% Conf.Int,1500
Total,C - Manufacturing,2001,Number (main and second job),21000
Total,C - Manufacturing,2001,95% Conf.Int,1500
Total,C - Manufacturing,2002,Number (main and second job),20600
Total,C - Manufacturing,2002,95% Conf.Int,1500
Total,C - Manufacturing,2003,Number (main and second job),21100
Total,C - Manufacturing,2003,95% Conf.Int,1100
Total,C - Manufacturing,2004,Number (main and second job),21100
Total,C - Manufacturing,2004,95% Conf.Int,1200
Total,C - Manufacturing,2005,Number (main and second job),20700
Total,C - Manufacturing,2005,95% Conf.Int,1200
Total,C - Manufacturing,2006,Number (main and second job),19100
Total,C - Manufacturing,2006,95% Conf.Int,1100
Total,C - Manufacturing,2007,Number (main and second job),18800
Total,C - Manufacturing,2007,95% Conf.Int,1200
Total,C - Manufacturing,2008,Number (main and second job),19300
Total,C - Manufacturing,2008,95% Conf.Int,1200
Total,C - Manufacturing,2009,Number (main and second job),18700
Total,C - Manufacturing,2009,95% Conf.Int,1200
Total,C - Manufacturing,2010,Number (main and second job),17600
Total,C - Manufacturing,2010,95% Conf.Int,1100
Total,C - Manufacturing,2011,Number (main and second job),18900
Total,C - Manufacturing,2011,95% Conf.Int,1200
Total,C - Manufacturing,2012,Number (main and second job),20800
Total,C - Manufacturing,2012,95% Conf.Int,1200
Total,C - Manufacturing,2013,Number (main and second job),21300
Total,C - Manufacturing,2013,95% Conf.Int,1300
Total,C - Manufacturing,2014,Number (main and second job),21400
Total,C - Manufacturing,2014,95% Conf.Int,1300
Total,C - Manufacturing,2015,Number (main and second job),20400
Total,C - Manufacturing,2015,95% Conf.Int,1300
Total,C - Manufacturing,2016,Number (main and second job),20500
Total,C - Manufacturing,2016,95% Conf.Int,1400
Total,C - Manufacturing,2017,Number (main and second job),19500
Total,C - Manufacturing,2017,95% Conf.Int,1400
Total,C - Manufacturing,2018,Number (main and second job),18600
Total,C - Manufacturing,2018,95% Conf.Int,1300
Total,C - Manufacturing,2019,Number (main and second job),19300
Total,C - Manufacturing,2019,95% Conf.Int,1400
Total,C - Manufacturing,2020,Number (main and second job),19100
Total,C - Manufacturing,2020,95% Conf.Int,1300
Total,C - Manufacturing,2021,Number (main and second job),18400
Total,C - Manufacturing,2021,95% Conf.Int,1300
Total,C - Manufacturing,2022,Number (main and second job),17800
Total,C - Manufacturing,2022,95% Conf.Int,1400
Total,C - Manufacturing,2023,Number (main and second job),19000
Total,C - Manufacturing,2023,95% Conf.Int,1600
Total,C - Manufacturing,2024,Number (main and second job),20700
Total,C - Manufacturing,2024,95% Conf.Int,1700
Total,C - Manufacturing,2025,Number (main and second job),20700
Total,C - Manufacturing,2025,95% Conf.Int,1700
Total,"C:10-12 - Manufacturing food, beverages and tobacco",1991,Number (main and second job),12000
Total,"C:10-12 - Manufacturing food, beverages and tobacco",1991,95% Conf.Int,1100
Total,"C:10-12 - Manufacturing food, beverages and tobacco",1992,Number (main and second job),11400
Total,"C:10-12 - Manufacturing food, beverages and tobacco",1992,95% Conf.Int,1000
Total,"C:10-12 - Manufacturing food, beverages and tobacco",1993,Number (main and second job),13200
Total,"C:10-12 - Manufacturing food, beverages and tobacco",1993,95% Conf.Int,1100
Total,"C:10-12 - Manufacturing food, beverages and tobacco",1994,Number (main and second job),13800
Total,"C:10-12 - Manufacturing food, beverages and tobacco",1994,95% Conf.Int,1100
Total,"C:10-12 - Manufacturing food, beverages and tobacco",1995,Number (main and second job),13000
Total,"C:10-12 - Manufacturing food, beverages and tobacco",1995,95% Conf.Int,1100
Total,"C:10-12 - Manufacturing food, beverages and tobacco",1996,Number (main and second job),12600
Total,"C:10-12 - Manufacturing food, beverages and tobacco",1996,95% Conf.Int,1100
Total,"C:10-12 - Manufacturing food, beverages and tobacco",1997,Number (main and second job),12200
Total,"C:10-12 - Manufacturing food, beverages and tobacco",1997,95% Conf.Int,1100
Total,"C:10-12 - Manufacturing food, beverages and tobacco",1998,Number (main and second job),11700
Total,"C:10-12 - Manufacturing food, beverages and tobacco",1998,95% Conf.Int,1100
Total,"C:10-12 - Manufacturing food, beverages and tobacco",1999,Number (main and second job),10600
Total,"C:10-12 - Manufacturing food, beverages and tobacco",1999,95% Conf.Int,1000
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2000,Number (main and second job),10800
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2000,95% Conf.Int,1000
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2001,Number (main and second job),10800
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2001,95% Conf.Int,1000
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2002,Number (main and second job),10600
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2002,95% Conf.Int,1000
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2003,Number (main and second job),10500
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2003,95% Conf.Int,800
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2004,Number (main and second job),10300
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2004,95% Conf.Int,800
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2005,Number (main and second job),10100
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2005,95% Conf.Int,800
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2006,Number (main and second job),8600
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2006,95% Conf.Int,800
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2007,Number (main and second job),7500
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2007,95% Conf.Int,700
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2008,Number (main and second job),8000
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2008,95% Conf.Int,800
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2009,Number (main and second job),7600
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2009,95% Conf.Int,800
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2010,Number (main and second job),7400
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2010,95% Conf.Int,700
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2011,Number (main and second job),8600
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2011,95% Conf.Int,800
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2012,Number (main and second job),9900
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2012,95% Conf.Int,900
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2013,Number (main and second job),10200
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2013,95% Conf.Int,900
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2014,Number (main and second job),9900
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2014,95% Conf.Int,900
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2015,Number (main and second job),8900
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2015,95% Conf.Int,900
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2016,Number (main and second job),8100
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2016,95% Conf.Int,900
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2017,Number (main and second job),7900
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2017,95% Conf.Int,900
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2018,Number (main and second job),7700
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2018,95% Conf.Int,800
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2019,Number (main and second job),8400
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2019,95% Conf.Int,900
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2020,Number (main and second job),7900
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2020,95% Conf.Int,900
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2021,Number (main and second job),7700
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2021,95% Conf.Int,900
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2022,Number (main and second job),7200
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2022,95% Conf.Int,900
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2023,Number (main and second job),7900
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2023,95% Conf.Int,1100
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2024,Number (main and second job),7600
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2024,95% Conf.Int,1000
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2025,Number (main and second job),8300
Total,"C:10-12 - Manufacturing food, beverages and tobacco",2025,95% Conf.Int,1100
Total,"C:10.2 - Processing and preserving of fish, crustaceans and molluscs",1991,Number (main and second job),8000
Total,"C:10.2 - Processing and preserving of fish, crustaceans and molluscs",1991,95% Conf.Int,900
Total,"C:10.2 - Processing and preserving of fish, crustaceans and molluscs",1992,Number (main and second job),7600
Total,"C:10.2 - Processing and preserving of fish, crustaceans and molluscs",1992,95% Conf.Int,800
Total,"C:10.2 - Processing and preserving of fish, crustaceans and molluscs",1993,Number (main and second job),9200
Total,"C:10.2 - Processing and preserving of fish, crustaceans and molluscs",1993,95% Conf.Int,900
Total,"C:10.2 - Processing and preserving of fish, crustaceans and molluscs",1994,Number (main and second job),10200
Total,"C:10.2 - Processing and preserving of fish, crustaceans and molluscs",1994,95% Conf.Int,1000
Total,"C:10.2 - Processing and preserving of fish, crustaceans and molluscs",1995,Number (main and second job),9300
Total,"C:10.2 - Processing and preserving of fish, crustaceans and molluscs",1995,95% Conf.Int,900
Total,"C:10.2 - Processing and preserving of fish, crustaceans and molluscs",1996,Number (main and second job),8700
Total,"C:10.2 - Processing and preserving of fish, crustaceans and molluscs",1996,95% Conf.Int,900
Total,"C:10.2 - Processing and preserving of fish, crustaceans and molluscs",1997,Number (main and second job),8100
Total,"C:10.2 - Processing and preserving of fish, crustaceans and molluscs",1997,95% Conf.Int,900
Total,"C:10.2 - Processing and preserving of fish, crustaceans and molluscs",1998,Number (main and second job),7600
Total,"C:10.2 - Processing and preserving of fish, crustaceans and molluscs",1998,95% Conf.Int,800
Total,"C:10.2 - Processing and preserving of fish, crustaceans and molluscs",1999,Number (main and second job),6500
Total,"C:10.2 - Processing and preserving of fish, crustaceans and molluscs",1999,95% Conf.Int,800
Total,"C:10.2 - Processing and preserving of fish, crustaceans and molluscs",2000,Number (main and second job),6900
Total,"C:10.2 - Processing and preserving of fish, crustaceans and molluscs",2000,95% Conf.Int,800
Total,"C:10.2 - Processing and preserving of fish, crustaceans and molluscs",2001,Number (main and second job),7000
Total,"C:10.2 - Processing and preserving of fish, crustaceans and molluscs",2001,95% Conf.Int,800
Total,"C:10.2 - Processing and preserving of fish, crustaceans and molluscs",2002,Number (main and second job),6600
Total,"C:10.2 - Processing and preserving of fish, crustaceans and molluscs",2002,95% Conf.Int,800
Total,"C:10.2 - Processing and preserving of fish, crustaceans and molluscs",2003,Number (main and second job),5700
Total,"C:10.2 - Processing and preserving of fish, crustaceans and molluscs",2003,95% Conf.Int,600
